iter	RMSE
0	4444.752032
1	4197.324579
2	3982.664066
3	3795.343006
4	3627.345555
5	3479.759174
6	3347.338145
7	3229.548087
8	3128.618825
9	3042.716023
10	2959.270456
11	2891.312672
12	2829.286867
13	2771.947087
14	2724.028889
15	2679.019837
16	4280.278932
17	4257.300264
18	4234.237045
19	4212.181551
20	4190.439378
21	4168.884168
22	4147.825803
23	4127.062524	24	4105.813825	4083.853288
26	4063.813885
27	4043.993779
28	4024.151313
29	4003.985465
30	3984.389611
31	3965.190174
32	3946.322945
33	3927.636219
34	3908.701534
35	3890.85717
36	3872.782465
37	3855.042822
38	3837.456634
39	3820.347461
40	3802.555985
41	3785.879032
42	3768.673132
43	3751.675025
44	3734.887329
45	3718.534171
46	3702.828248
47	3687.520028
48	3672.16036
49	3656.40601
50	350	3636.0355151	3620.830135252	3605.657385353	3590.8123354	3580.264772
55	3564.995137
56	3550.494443
57	3535.945534
58	3521.858038
59	3507.989385
60	3494.028448
61	3480.42727
62	3467.304935
63	3454.537885
64	3441.601487
65	3428.563638
66	3415.922442
67	3402.988426
68	3390.441876
69	3378.240859
70	3365.818809
71	3354.058356
