iter	Passed	Remaining
0	66	13320
1	82	8186
2	98	6481
3	114	5602
4	131	5123
5	146	4750
6	162	4478
7	177	4249
8	191	4070
9	206	3929
10	220	3795
11	235	3688
12	250	3604
13	266	3539
14	280	3453
15	295	3403
16	312	3366
17	328	3321
18	342	3260
19	359	3233
20	376	3205
21	392	3172
22	408	3140
23	423	3103
24	439	3075
25	456	3054
26	471	3020
27	486	2987
28	501	2958
29	517	2933
30	532	2902
31	548	2877
32	563	2851
33	579	2829
34	597	2816
35	612	2790
36	629	2775
37	645	2750
38	661	2732
39	677	2710
40	693	2690
41	709	2670
42	726	2650
43	742	2633
44	757	2610
45	774	2592
46	790	2574
47	806	2554
48	821	2530
49	836	2509
50	852	2491
51	869	2473
52	885	2457
53	902	2439
54	917	2419
55	933	2400
56	948	2379
57	963	2358
58	978	2339
59	993	2319
60	1009	2299
61	1023	2278
62	1039	2259
63	1054	2240
64	1070	2223
65	1085	2203
66	1100	2183
67	1116	2166
68	1131	2148
69	1147	2130
70	1162	2112
71	1179	2096
72	1193	2076
73	1210	2060
74	1224	2040
75	1239	2021
76	1255	2004
77	1271	1988
78	1286	1970
79	1301	1952
80	1316	1934
81	1332	1917
82	1347	1898
83	1362	1881
84	1378	1865
85	1394	1848
86	1409	1830
87	1424	1813
88	1439	1795
89	1455	1778
90	1469	1760
91	1484	1742
92	1499	1725
93	1514	1707
94	1530	1691
95	1544	1672
96	1559	1656
97	1574	1638
98	1589	1621
99	1603	1603
100	1618	1586
101	1635	1570
102	1650	1554
103	1665	1537
104	1681	1521
105	1696	1504
106	1711	1487
107	1727	1471
108	1741	1454
109	1758	1439
110	1774	1423
111	1791	1407
112	1807	1391
113	1822	1374
114	1837	1358
115	1853	1342
116	1867	1325
117	1882	1308
118	1897	1291
119	1914	1276
120	1929	1259
121	1945	1243
122	1960	1227
123	1975	1211
124	1991	1195
125	2007	1178
126	2021	1161
127	2036	1145
128	2052	1129
129	2068	1113
130	2085	1098
131	2100	1082
132	2116	1066
133	2131	1049
134	2147	1033
135	2163	1017
136	2176	1000
137	2191	984
138	2207	968
139	2223	952
140	2238	936
141	2254	921
142	2271	905
143	2285	888
144	2300	872
145	2315	856
146	2331	840
147	2347	824
148	2363	808
149	2377	792
150	2394	776
151	2409	761
152	2424	744
153	2439	728
154	2455	712
155	2469	696
156	2485	680
157	2499	664
158	2515	648
159	2529	632
160	2546	616
161	2562	601
162	2578	585
163	2594	569
164	2608	553
165	2623	537
166	2637	521
167	2654	505
168	2670	489
169	2685	473
170	2700	457
171	2715	442
172	2730	426
173	2746	410
174	2763	394
175	2779	379
176	2795	363
177	2810	347
178	2826	331
179	2842	315
180	2857	299
181	2872	284
182	2887	268
183	2903	252
184	2918	236
185	2934	220
186	2949	205
187	2965	189
188	2980	173
189	2995	157
190	3011	141
191	3026	126
192	3043	110
193	3059	94
194	3075	78
195	3091	63
196	3106	47
197	3124	31
198	3140	15
199	3157	0
